"id","data_fim","data_inicio","time_stamp"
1,,2025-05-15,2025-05-15 19:25:18.236
2,,2025-05-15,2025-05-15 19:28:30.468
3,,2025-05-15,2025-05-15 19:29:16.747
4,,,2025-05-15 19:29:49.988
5,,2025-05-15,2025-05-15 19:30:33.775
6,,2025-05-15,2025-05-15 19:31:11.254
7,,2025-05-15,2025-05-15 19:31:49.737
8,2025-05-15,2025-05-15,2025-05-15 19:32:37.489
9,,2025-05-15,2025-05-15 19:33:10.736
10,,2025-05-15,2025-05-15 19:34:44.841
11,,2025-05-15,2025-05-15 19:35:25.884
12,,2025-05-15,2025-05-15 19:36:08.793
13,,2025-05-15,2025-05-15 19:36:51.251
14,,2025-05-15,2025-05-15 19:37:43.731
15,,2025-05-15,2025-05-15 19:38:13.187
