"id","data_fim","data_inicio","time_stamp"
1,,,2025-05-15 19:25:02.556
2,,,2025-05-15 19:28:16.398
3,,,2025-05-15 19:28:58.232
4,,,2025-05-15 19:29:50.020
5,,,2025-05-15 19:30:17.962
6,,,2025-05-15 19:30:55.430
7,2025-05-15,,2025-05-15 19:31:57.255
8,,2025-05-15,2025-05-15 19:32:37.534
9,2025-05-15,,2025-05-15 19:33:19.353
10,2025-05-15,,2025-05-15 19:34:53.272
11,2025-05-15,,2025-05-15 19:35:34.216
12,2025-05-15,,2025-05-15 19:36:16.761
13,,,2025-05-15 19:36:33.043
14,,,2025-05-15 19:37:29.309
15,2025-05-15,,2025-05-15 19:38:22.053
