"id","data_fim","data_inicio","time_stamp"
1,2025-05-15,,2025-05-15 19:25:25.307
2,,,2025-05-15 19:28:16.416
3,,,2025-05-15 19:28:58.247
4,,,2025-05-15 19:29:50.036
5,,,2025-05-15 19:30:17.988
6,,,2025-05-15 19:30:55.441
7,,2025-05-15,2025-05-15 19:31:57.273
8,,,2025-05-15 19:32:16.084
10,,2025-05-15,2025-05-15 19:34:53.282
11,,2025-05-15,2025-05-15 19:35:34.234
12,,2025-05-15,2025-05-15 19:36:16.795
13,2025-05-15,,2025-05-15 19:36:58.725
14,,,2025-05-15 19:37:29.320
9,2025-05-19,2025-05-15,2025-05-19 22:28:53.046
15,2025-05-21,2025-05-15,2025-05-21 14:02:41.102
