"id","data_fim","data_inicio","time_stamp"
1,2025-05-15,2025-05-15,2025-05-15 19:25:09.456
2,2025-05-15,2025-05-15,2025-05-15 19:28:23.560
3,2025-05-15,2025-05-15,2025-05-15 19:29:07.032
4,2025-05-15,2025-05-15,2025-05-15 19:29:59.772
5,2025-05-15,2025-05-15,2025-05-15 19:30:24.541
6,2025-05-15,2025-05-15,2025-05-15 19:31:03.150
7,2025-05-15,2025-05-15,2025-05-15 19:31:41.744
8,2025-05-15,2025-05-15,2025-05-15 19:32:22.485
9,2025-05-15,2025-05-15,2025-05-15 19:33:02.307
10,2025-05-15,2025-05-15,2025-05-15 19:34:38.433
11,2025-05-15,2025-05-15,2025-05-15 19:35:19.673
12,2025-05-15,2025-05-15,2025-05-15 19:36:00.721
13,2025-05-15,2025-05-15,2025-05-15 19:36:41.037
14,2025-05-15,2025-05-15,2025-05-15 19:37:36.232
15,2025-05-15,2025-05-15,2025-05-15 19:38:06.051
