"id","disponivel","nome_area","numero_linha","referencia","time_stamp"
4,false,Pimenteiras,2,Pimenteiras_1:2-1,2025-05-15 19:25:02.907
5,false,Pimenteiras,2,Pimenteiras_1:2-2,2025-05-15 19:28:16.521
6,false,Pimenteiras,2,Pimenteiras_1:2-3,2025-05-15 19:28:58.366
7,false,Pimenteiras,3,Pimenteiras_1:3-1,2025-05-15 19:29:50.191
8,false,Pimenteiras,3,Pimenteiras_1:3-2,2025-05-15 19:30:18.123
9,false,Pimenteiras,3,Pimenteiras_1:3-3,2025-05-15 19:30:55.571
1,false,Pimenteiras,1,Pimenteiras_1:1-1,2025-05-15 19:31:34.122
2,false,Pimenteiras,1,Pimenteiras_1:1-2,2025-05-15 19:32:16.185
3,false,Pimenteiras,1,Pimenteiras_1:1-3,2025-05-15 19:32:55.778
10,false,Produção,1,Produção_1:1-1,2025-05-15 19:34:31.181
11,false,Produção,1,Produção_1:1-2,2025-05-15 19:35:13.185
12,false,Produção,1,Produção_1:1-3,2025-05-15 19:35:54.049
13,false,Produção,2,Produção_1:2-1,2025-05-15 19:36:33.174
14,false,Produção,2,Produção_1:2-2,2025-05-15 19:37:29.382
15,false,Produção,2,Produção_1:2-3,2025-05-15 19:37:59.894
