"id","data_fim","data_inicio","time_stamp"
1,,2025-05-15,2025-05-15 19:25:25.376
2,,,2025-05-15 19:28:16.447
3,,,2025-05-15 19:28:58.263
4,,,2025-05-15 19:29:50.084
5,,,2025-05-15 19:30:18.012
6,,,2025-05-15 19:30:55.452
7,,,2025-05-15 19:31:34.040
8,,,2025-05-15 19:32:16.107
10,,,2025-05-15 19:34:31.098
11,,,2025-05-15 19:35:13.135
12,,,2025-05-15 19:35:53.970
13,,2025-05-15,2025-05-15 19:36:58.741
14,,,2025-05-15 19:37:29.331
9,,2025-05-19,2025-05-19 22:28:53.426
15,,2025-05-21,2025-05-21 14:02:41.423
