"id","data_fim","data_inicio","time_stamp"
1,2025-05-15,2025-05-15,2025-05-15 19:25:18.176
2,2025-05-15,2025-05-15,2025-05-15 19:28:30.425
3,2025-05-15,2025-05-15,2025-05-15 19:29:16.705
4,,2025-05-15,2025-05-15 19:29:59.799
5,2025-05-15,2025-05-15,2025-05-15 19:30:33.743
6,2025-05-15,2025-05-15,2025-05-15 19:31:11.242
7,2025-05-15,2025-05-15,2025-05-15 19:31:49.718
8,2025-05-15,2025-05-15,2025-05-15 19:32:30.668
9,2025-05-15,2025-05-15,2025-05-15 19:33:10.697
10,2025-05-15,2025-05-15,2025-05-15 19:34:44.809
11,2025-05-15,2025-05-15,2025-05-15 19:35:25.866
12,2025-05-15,2025-05-15,2025-05-15 19:36:08.775
13,2025-05-15,2025-05-15,2025-05-15 19:36:51.192
14,2025-05-15,2025-05-15,2025-05-15 19:37:43.717
15,2025-05-15,2025-05-15,2025-05-15 19:38:13.172
